token,Rank,Word in English,score,Standard Deviation of Ratings
was,8600,was,4.84,1.1669
funny,327,funny,7.66,1.1537
and,7113,and,5.4,0.9897
his,7367,his,5.32,0.9134
could,6101,Could,5.66,1.1886
a,7551,to,5.26,0.8762
the,7738,the,5.2,0.4518
going,4407,going,6.02,1.3775
for,7412,for,5.32,1.6092
gold,802,gold,7.26,1.7001
why,9046,why,4.48,1.1822
china,6013,china,5.68,1.4907
s,8214,s,5.02,0.5147
may,5776,may,5.72,1.4574
from,6107,from,5.66,1.1886
or,7628,or,5.24,1.0214
not,9400,not,3.88,1.5471
kevin,7344,kevin,5.34,1.5729
is,7326,is,5.34,0.6581
and,7113,and,5.4,0.9897
s,8214,s,5.02,0.5147
makes,5025,makes,5.88,1.3346
a,7551,to,5.26,0.8762
looking,4176,looking,6.08,1.066
but,8874,but,4.66,1.0224
over,9221,over,4.2,1.5649
robert,6777,robert,5.5,1.2164
who,7922,who,5.14,0.8332
are,6907,are,5.46,0.9941
australia,1762,Australia,6.76,1.5059
s,8214,s,5.02,0.5147
top,2695,top,6.44,1.6801
from,6107,from,5.66,1.1886
the,7738,the,5.2,0.4518
pocket,6035,pocket,5.68,1.2362
s,8214,s,5.02,0.5147
final,7654,final,5.22,2.0632
is,7326,is,5.34,0.6581
but,8874,but,4.66,1.0224
great,659,great,7.36,1.6132
the,7738,the,5.2,0.4518
big,1991,big,6.66,1.3793
to,8622,to,4.84,0.9971
be,6108,be,5.66,1.3188
over,9221,over,4.2,1.5649
the,7738,the,5.2,0.4518
of,8632,of,4.82,1.207
the,7738,the,5.2,0.4518
jack,6648,jack,5.52,1.2493
says,6092,says,5.66,0.9817
to,8622,to,4.84,0.9971
meet,3212,meet,6.3,1.3887
after,7120,after,5.4,1.5253
we,4698,we,5.96,1.5513
back,8595,back,4.84,1.1843
in,5638,in,5.76,1.1704
one,5456,one,5.8,1.3851
black,6401,black,5.58,1.8193
plan,3200,plan,6.3,0.953
south,4879,south,5.92,1.2591
africa,4727,africa,5.96,1.8066
racing,2468,racing,6.5,1.5419
s,8214,s,5.02,0.5147
crisis,9907,crisis,2.5,1.7053
with,4746,with,5.94,1.0382
on,4026,on,6.1,1.1995
of,8632,of,4.82,1.207
civil,6128,civil,5.66,1.2224
war,9970,war,2.04,1.6777
after,7120,after,5.4,1.5253
world,1577,world,6.84,1.3456
tour,1081,tour,7.08,1.2095
of,8632,of,4.82,1.207
by,7502,by,5.28,0.8581
fines,5074,end,5.88,1.1542
s,8214,s,5.02,0.5147
our,4864,our,5.92,1.3974
was,8600,was,4.84,1.1669
a,7551,to,5.26,0.8762
part,8283,part,4.98,1.3775
s,8214,s,5.02,0.5147
